earthquake_time,earthquake_latitude,earthquake_longitude,earthquake_depth,earthquake_magnitude,nearest_city_latitude,nearest_city_longitude,nearest_city_distance,historical_temp_available
2007-11-14T15:40:50.530Z,-22.247,-69.89,40.0,7.7,-22.35,-69.67,25.0,no
2007-11-29T19:00:20.420Z,14.944,-61.273999999999994,156.0,7.4,15.301,-61.387,41.0,yes
2007-12-09T07:28:20.820Z,-25.996,-177.514,152.5,7.8,-21.1385,-175.2206,586.0,yes
2007-12-19T09:30:27.930Z,51.36,-179.50900000000001,34.0,7.2,60.5816,169.05,1245.0,no
2008-02-20T08:08:30.520Z,2.7680000000000002,95.964,26.0,7.4,3.6204,98.5001,297.0,yes
2008-02-25T08:36:33.030Z,-2.4859999999999998,99.97200000000001,25.0,7.2,-2.0631,101.3964,165.0,no
2008-03-20T22:32:57.930Z,35.49,81.467,10.0,7.2,37.0997,79.9269,226.0,no
2008-04-09T12:46:12.720Z,-20.070999999999998,168.892,33.0,7.3,-19.5417,169.2817,71.0,no
2008-04-12T00:30:12.600Z,-55.663999999999994,158.453,16.0,7.1,-46.8876,168.1666,1184.0,no
2008-05-12T06:28:01.570Z,31.002,103.322,19.0,7.9,30.67,104.07,80.0,yes
2008-06-30T06:17:43.020Z,-58.227,-22.099,8.0,7.0,-54.2806,-36.508,992.0,no
2008-07-05T02:12:04.480Z,53.882,152.886,632.8,7.7,52.6636,156.2387,262.0,no
2008-07-19T02:39:28.700Z,37.552,142.214,22.0,7.0,37.0553,140.89,130.0,yes
2008-09-29T15:19:31.590Z,-29.756,-177.683,36.0,7.0,-21.1385,-175.2206,985.0,yes
2008-11-16T17:02:32.700Z,1.271,122.09100000000001,30.0,7.4,0.55,123.07,135.0,no
2008-11-24T09:02:58.760Z,54.203,154.322,492.3,7.3,52.6636,156.2387,213.0,no
2009-01-03T19:43:50.650Z,-0.414,132.885,17.0,7.7,-0.8711,134.0693,141.0,no
2009-01-03T22:33:40.290Z,-0.691,133.305,23.0,7.4,-0.8711,134.0693,87.0,no
2009-01-15T17:49:39.070Z,46.857,155.154,36.0,7.4,50.6905,156.085,432.0,yes
2009-02-11T17:34:50.490Z,3.886,126.387,20.0,7.2,6.1018,125.2905,274.0,yes
2009-02-18T21:53:45.160Z,-27.424,-176.33,25.0,7.0,-21.1385,-175.2206,705.0,yes
2009-03-19T18:17:40.470Z,-23.043000000000003,-174.66,31.0,7.6,-21.1385,-175.2206,219.0,yes
2009-05-28T08:24:46.560Z,16.730999999999998,-86.21700000000001,19.0,7.3,16.33,-86.519,55.0,no
