,datetime,latitude,longitude,depth,magnitude
58109,2010-06-16T03:16:27.550Z,-2.174,136.543,18.0,7.0
58603,2010-07-18T13:34:59.360Z,-5.931,150.59,35.0,7.3
58718,2010-07-23T22:08:11.250Z,6.718,123.40899999999999,607.1,7.3
58722,2010-07-23T22:51:11.840Z,6.497000000000001,123.48,578.0,7.6
58728,2010-07-23T23:15:10.190Z,6.776,123.259,640.6,7.5
58925,2010-08-04T22:01:43.620Z,-5.746,150.765,44.0,7.0
59012,2010-08-10T05:23:44.980Z,-17.541,168.06900000000002,25.0,7.3
59098,2010-08-12T11:54:15.580Z,-1.266,-77.306,206.7,7.1
59474,2010-09-03T16:35:47.770Z,-43.522,171.83,12.0,7.0
59875,2010-09-29T17:11:25.940Z,-4.963,133.76,26.0,7.0
60281,2010-10-25T14:42:22.460Z,-3.487,100.08200000000001,20.1,7.8
61268,2010-12-21T17:19:40.660Z,26.901,143.69799999999998,14.0,7.4
61618,2010-12-25T13:16:37.000Z,-19.702,167.947,16.0,7.3
61848,2011-01-01T09:56:58.120Z,-26.803,-63.136,576.8,7.0
61875,2011-01-02T20:20:17.780Z,-38.355,-73.32600000000001,24.0,7.2
62124,2011-01-13T16:16:41.540Z,-20.628,168.47099999999998,9.0,7.0
62255,2011-01-18T20:23:23.480Z,28.776999999999997,63.951,68.0,7.2
63116,2011-03-09T02:45:20.330Z,38.435,142.842,32.0,7.3
63189,2011-03-11T05:46:24.120Z,38.297,142.373,29.0,9.1
63204,2011-03-11T06:15:40.280Z,36.281,141.111,42.6,7.9
63209,2011-03-11T06:25:50.300Z,38.058,144.59,18.6,7.7
65601,2011-04-07T14:32:43.290Z,38.275999999999996,141.588,42.0,7.1
67524,2011-06-24T03:09:39.470Z,52.05,-171.83599999999998,52.0,7.3
67767,2011-07-06T19:03:18.260Z,-29.539,-176.34,17.0,7.6
67933,2011-07-10T00:57:10.800Z,38.034,143.264,23.0,7.0
68863,2011-08-20T16:55:02.810Z,-18.365,168.143,32.0,7.2
68875,2011-08-20T18:19:23.550Z,-18.311,168.218,28.0,7.1
68975,2011-08-24T17:46:11.650Z,-7.641,-74.525,147.0,7.0
69189,2011-09-03T22:55:40.920Z,-20.671,169.71599999999998,185.1,7.0
69402,2011-09-15T19:31:04.080Z,-21.611,-179.528,644.6,7.3
70051,2011-10-21T17:57:16.100Z,-28.993000000000002,-176.238,33.0,7.4
70088,2011-10-23T10:41:23.250Z,38.721,43.508,18.0,7.1
71096,2011-12-14T05:04:58.630Z,-7.551,146.809,135.0,7.1
71623,2012-01-10T18:36:59.080Z,2.4330000000000003,93.21,19.0,7.2
72123,2012-02-02T13:34:40.650Z,-17.827,167.13299999999998,23.0,7.1
73244,2012-03-20T18:02:47.440Z,16.493,-98.23100000000001,20.0,7.4
73359,2012-03-25T22:37:06.000Z,-35.2,-72.217,40.7,7.1
73628,2012-04-11T08:38:36.720Z,2.327,93.06299999999999,20.0,8.6
73659,2012-04-11T10:43:10.850Z,0.802,92.463,25.1,8.2
73777,2012-04-12T07:15:48.500Z,28.695999999999998,-113.104,13.0,7.0
76014,2012-08-14T02:59:38.460Z,49.8,145.064,583.2,7.7
76181,2012-08-27T04:37:19.430Z,12.139000000000001,-88.59,28.0,7.3
76263,2012-08-31T12:47:33.380Z,10.811,126.63799999999999,28.0,7.6
76482,2012-09-05T14:42:07.800Z,10.085,-85.315,35.0,7.6
76945,2012-09-30T16:31:35.970Z,1.929,-76.362,170.0,7.3
77399,2012-10-28T03:04:08.820Z,52.788000000000004,-132.101,14.0,7.8
77621,2012-11-07T16:35:46.930Z,13.988,-91.895,24.0,7.4
78119,2012-12-07T08:18:23.130Z,37.89,143.94899999999998,31.0,7.3
78240,2012-12-10T16:53:08.770Z,-6.5329999999999995,129.825,155.0,7.1
78674,2013-01-05T08:58:14.957Z,55.228,-134.8591,8.7,7.5
79260,2013-02-06T01:12:25.830Z,-10.799000000000001,165.114,24.0,8.0
79264,2013-02-06T01:23:19.760Z,-11.183,164.882,10.0,7.1
79275,2013-02-06T01:54:14.610Z,-10.499,165.588,8.8,7.0
79614,2013-02-08T15:26:38.470Z,-10.927999999999999,166.018,21.0,7.1
80717,2013-04-06T04:42:35.860Z,-3.517,138.476,66.0,7.0
80905,2013-04-16T10:44:20.180Z,28.033,61.996,80.0,7.7
80964,2013-04-19T03:05:52.650Z,46.221000000000004,150.78799999999998,110.0,7.2
81626,2013-05-23T17:19:04.750Z,-23.009,-177.232,173.7,7.4
81642,2013-05-24T05:44:48.980Z,54.891999999999996,153.221,598.1,8.3
82295,2013-07-07T18:35:30.740Z,-3.917,153.92700000000002,385.5,7.3
82431,2013-07-15T14:03:39.880Z,-60.857,-25.07,11.0,7.3
83204,2013-08-30T16:25:02.300Z,51.537,-175.2297,29.0,7.0
83664,2013-09-24T11:29:47.970Z,26.951,65.5009,15.0,7.7
83700,2013-09-25T16:42:43.170Z,-15.8385,-74.5112,40.0,7.1
84000,2013-10-15T00:12:32.050Z,9.8796,124.1167,19.04,7.1
84266,2013-10-25T17:10:19.710Z,37.1557,144.6611,35.0,7.1
84743,2013-11-17T09:04:55.530Z,-60.2738,-46.4011,10.0,7.7
85045,2013-11-25T06:27:33.300Z,-53.9451,-55.0033,11.78,7.0
87694,2014-04-01T23:46:47.260Z,-19.6097,-70.7691,25.0,8.2
87774,2014-04-03T02:43:13.110Z,-20.5709,-70.4931,22.4,7.7
87955,2014-04-11T07:07:23.130Z,-6.5858,155.0485,60.53,7.1
88025,2014-04-12T20:14:39.300Z,-11.2701,162.1481,22.56,7.6
88094,2014-04-13T12:36:19.230Z,-11.4633,162.0511,39.0,7.4
88293,2014-04-18T14:27:24.920Z,17.397000000000002,-100.9723,24.0,7.2
88325,2014-04-19T13:28:00.810Z,-6.7547,155.0241,43.37,7.5
89852,2014-06-23T20:53:09.700Z,51.8486,178.7352,109.0,7.9
92222,2014-10-09T02:14:31.440Z,-32.1082,-110.8112,16.54,7.0
92370,2014-10-14T03:51:34.460Z,12.5262,-88.1225,40.0,7.3
92800,2014-11-01T18:57:22.380Z,-19.6903,-177.7587,434.0,7.1
